Src IP,Dst IP,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.142,192.168.0.141,6,61451766,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0650917013515933,20483922.0,35413654.651235744,61376077.0,11761.0,0.0,0.0,0.0,0.0,0.0,61451766.0,30725883.0,43362552.60987353,61387838.0,63928.0,0,0,0,0,32,96,0.0162729253378983,0.048818776013695,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,509,0,0,63928.0,0.0,63928.0,63928.0,61376077.0,0.0,61376077.0,61376077.0,BENIGN
192.168.0.141,192.168.0.142,6,62234756,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1285455349097858,8890679.42857143,22800023.04446384,60589840.0,12.0,61385825.0,30692912.5,42280640.34378515,60589840.0,795985.0,62221101.0,15555275.25,30070535.502843414,60657692.0,35.0,0,0,0,0,96,160,0.0482045755911696,0.0803409593186161,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,5,0,-1,501,0,0,848931.0,0.0,848931.0,848931.0,60589840.0,0.0,60589840.0,60589840.0,BENIGN
192.168.0.141,192.168.0.142,6,72478983,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1103768246858541,10354140.42857143,18402303.97366245,50390422.0,20.0,61430599.0,30715299.5,27824825.080852035,50390422.0,11040177.0,72465098.0,18116274.5,22150076.141854115,50413731.0,20.0,0,0,0,0,96,160,0.0413913092571952,0.0689855154286588,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,5,0,-1,501,0,0,7776.333333333334,13431.765421318722,23286.0,20.0,24147256.33333333,22727248.150858574,50390422.0,11025078.0,BENIGN
192.168.0.141,192.168.0.142,6,119995153,3197,3199,355470.0,102.0,612.0,102.0,111.18861432593064,48.07762309839628,102.0,0.0,0.0318849640512659,1.8034040959333328,2963.2196893819537,53.30215296279509,18763.901954652105,24916.09303192472,274416.0,-27.0,119958239.0,37533.867021276674,23282.42171585181,274506.0,0.0,119995153.0,37521.93652282693,23284.493948114992,274422.0,8.0,0,1,0,0,102304,102368,26.64274281145339,26.659410151341696,0.0,612.0,55.60012505862133,65.16074932056014,4245.92325201688,0,0,0,1,1,0,0,0,1.0,55.60881801125704,111.18861432593056,0.031884964051266,0,0,0,0,0,0,3197,355470,3199,102,-1,5388,3197,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.0.141,192.168.0.142,6,119995181,3197,3199,355470.0,102.0,612.0,102.0,111.18861432593064,48.212852222070346,102.0,0.0,0.0318849640512659,1.8034040959333328,2963.218997936259,53.30214052512659,18763.906333072733,24902.58908950614,274438.0,-48.0,119956166.0,37533.21839799759,23266.01080570387,274505.0,0.0,119995181.0,37521.945278299005,23270.47940945824,274452.0,5.0,0,1,0,0,102304,102368,26.642736594563743,26.65940393056285,0.0,612.0,55.60012505862133,65.21065724727062,4252.429818621008,0,0,0,1,1,0,0,0,1.0,55.60881801125704,111.18861432593056,0.031884964051266,0,0,0,0,0,0,3197,355470,3199,102,-1,5433,3197,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.0.141,192.168.0.142,6,119994926,3509,3316,470206.0,134.0,134.0,134.0,134.0,0.0,134.0,0.0,0.0404101326899879,2.3270061840180745,3919.665736532893,56.87740496627332,17584.25058616652,24311.86565728493,298475.0,-124.0,119958029.0,34195.56128848347,24196.157259997,298525.0,0.0,119994926.0,36197.56440422329,23394.56535217529,298519.0,4.0,0,1,0,0,112288,106400,29.242903154088363,27.63450181218496,0.0,134.0,68.92382068561402,66.97728048094866,4485.956100623666,0,0,0,1,1,0,0,0,0.0,68.93391941391941,134.0,0.0404101326899879,0,0,0,0,0,0,3509,470206,3316,134,-1,1746,3509,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.0.142,192.168.0.141,6,119960103,1191,1193,62192.0,52.0,104.0,52.0,52.2183039462636,3.3635766495334893,52.0,0.0,0.0435875943000838,1.5055081878237515,518.8725121384732,19.873274033450937,50339.95090222416,40505.032117443385,269359.0,10.0,119845304.0,100710.33949579844,13370.086739449,269393.0,11049.0,119960103.0,100637.67030201344,36885.43426705468,344178.0,5707.0,0,1,0,0,38112,38176,9.928300911845666,9.944973121605273,0.0,104.0,26.119916142557607,26.222346443693773,687.6114530130995,0,0,0,1,1,0,0,0,1.0,26.13087248322148,52.218303946263646,0.0435875943000838,0,0,0,0,0,0,1191,62192,1193,52,-1,610,1191,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.0.141,192.168.0.142,6,119977382,1396,1361,2275531.0,1897.0,1905.0,441.0,1630.03653295129,523.3415841667371,1897.0,0.0,1.3938280675973551,51.4207336026255,18982.144484532924,22.979331220946293,43533.15747460083,54181.3566333141,306358.0,-167.0,119875949.0,85932.57992831536,46424.27794674351,306369.0,0.0,119977382.0,88218.66323529414,44975.43049893956,306394.0,5.0,0,1,0,0,44672,44752,11.635526436141104,11.343804784805188,0.0,1905.0,826.4412617838998,896.2783645592926,803314.9067770803,0,0,0,1,1,0,0,0,0.0,826.7410228509249,1630.0365329512897,1.393828067597355,0,0,0,0,0,0,1396,2275531,1361,1897,-1,493,1396,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.0.141,192.168.0.142,6,119966172,1415,1387,2276878.0,1897.0,1905.0,441.0,1609.1010600706709,536.0771985116331,1897.0,0.0,1.3677000720980534,50.93650004436902,18995.146398436387,23.356584221091925,42829.765083898514,54138.462391107525,309135.0,-162.0,119873566.0,84776.21357850084,47448.79169303633,309140.0,0.0,119966172.0,86555.67965367962,46452.93725978932,309152.0,6.0,0,1,0,0,45280,45596,11.794991674819798,11.561592546272127,0.0,1905.0,813.6539422047811,890.4280880493003,792862.1799871325,0,0,0,1,1,0,0,0,0.0,813.9443254817987,1609.101060070671,1.3677000720980534,0,0,0,0,0,0,1415,2276878,1387,1897,-1,477,1415,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.0.142,192.168.0.141,6,61471056,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0650712751705453,20490352.0,35411367.78322067,61379874.0,31057.0,0.0,0.0,0.0,0.0,0.0,61471056.0,30735528.0,43381570.95386033,61410931.0,60125.0,0,0,0,0,32,96,0.0162678187926363,0.0488034563779089,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,509,0,0,60125.0,0.0,60125.0,60125.0,61379874.0,0.0,61379874.0,61379874.0,BENIGN
