Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.141-192.168.0.142-42136-39629-6,192.168.0.141,42136,192.168.0.142,39629,6,7/8/2025 10:22,119996156,1196,1198,0,62452,0,0,0,0,104,0,52.13021703,3.3582634331143018,520.4500050818294,19.950639085472037,50144.65357292116,42707.26945047501,228785,4,1.19942859E8,100370.59330543931,42098.33223941685,437161,3851,1.19996156E8,100247.41520467833,12811.661439811927,228785,65,0,0,0,0,38272,38336,9.966985942,9.983653143022348,0,104,26.07599164926932,26.178474336683962,685.3125185964209,0,0,0,0,1,0,0,0,1,26.08688387635756,0,52.130217028380635,0,0,0,0,0,0,1196,0,1198,62452,-1,504,0,0,0,0,0,0,0,0,0,0,MITM
192.168.0.166-192.168.0.255-57621-57621-17,192.168.0.166,57621,192.168.0.255,57621,17,7/8/2025 10:22,78338188,2,1,88,44,44,44,44,0,44,44,44,0,1.6850019558787854,0.038295498997245124,3.9169094E7,5.1048760894964434E7,7.5266019E7,3072169,7.5266019E7,7.5266019E7,0,7.5266019E7,7.5266019E7,0,0,0,0,0,0,0,0,0,16,8,0.025530332664830083,0.012765166332415041,44,44,44,0,0,0,0,0,0,0,0,0,0,0,58.666666666666664,44,44,0,0,0,0,0,0,2,88,1,44,-1,-1,2,0,3072169,0,3072169,3072169,7.5266019E7,0,7.5266019E7,7.5266019E7,MITM
192.168.0.141-192.168.0.142-52776-35679-6,192.168.0.141,52776,192.168.0.142,35679,6,7/8/2025 10:22,119995212,600,601,0,31200,0,0,0,0,52,0,51.91347753743758,2.121124243,260.01037441393913,10.008732681767336,99996.01000000013,84400.71215925296,233873,3697,1.19799176E8,199998.62437395676,41626.888253021876,379390,9548,1.19990263E8,199983.77166666675,2058.590739458638,233873,166270,0,0,0,0,19200,19232,5.000199507960367,5.008533173806969,0,52,25.956738768718765,26.01078605477584,676.5609911873213,0,0,0,0,1,0,0,0,1,25.97835137385512,0,51.91347754,0,0,0,0,0,0,600,0,601,31200,-1,504,0,0,0,0,0,0,0,0,0,0,MITM
192.168.0.140-192.168.0.255-57621-57621-17,192.168.0.140,57621,192.168.0.255,57621,17,7/8/2025 10:21,93185817,2,1,88,44,44,44,44,0,44,44,44,0,1.4165245769106687,0.03219374,4.65929085E7,9413331.447381448,5.3249139E7,3.9936678E7,5.3249139E7,5.3249139E7,0,5.3249139E7,5.3249139E7,0,0,0,0,0,0,0,0,0,16,8,0.021462493589555588,0.010731246794777794,44,44,44,0,0,0,0,0,0,0,0,0,0,0,58.666666666666664,44,44,0,0,0,0,0,0,2,88,1,44,-1,-1,2,0,0,0,0,0,4.65929085E7,9413331.447381448,5.3249139E7,3.9936678E7,MITM
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,7/8/2025 10:22,119295373,159,1,0,0,0,0,0,0,0,0,0,0,0,1.3412087659091354,750285.3647798742,914852.3621905271,7165226,0,1.1929432E8,755027.3417721516,915798.9219,7165226,0,0,0,0,0,0,0,0,0,0,0,0,1.3328262111222033,0.008382555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,1,0,-1,-1,0,0,2.8162201E7,0,2.8162201E7,2.8162201E7,7165226,0,7165226,7165226,MITM
192.168.0.142-192.200.0.101-45290-443-6,192.168.0.142,45290,192.200.0.101,443,6,7/8/2025 10:22,91629614,3,5,0,0,0,0,0,0,0,0,0,0,0,0.087308018,1.3089944857142858E7,1.6042315273555264E7,3.0251111E7,216891,6.0932011E7,3.04660055E7,2823.4773772778844,3.0468002E7,3.0464009E7,9.1629614E7,2.29074035E7,1.5110721165689798E7,3.0479525E7,241336,0,0,0,0,96,160,0.032740506797289355,0.054567511,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,5,0,-1,599,0,0,225439.33333333334,13779.985788575157,241336,216891,3.0239896333333332E7,15151.24425033579,3.0251111E7,3.022266E7,MITM
192.168.0.166-224.0.0.251-5353-5353-17,192.168.0.166,5353,224.0.0.251,5353,17,7/8/2025 10:22,36341896,17,1,761,43,45,43,44.76470588235294,0.6642111641550709,43,43,43,0,22.123226592250443,0.49529611773695026,2137758.588235294,1042678.424441715,4093790,10532,3.5839913E7,2239994.563,984948.5896,4093790,10532,0,0,0,0,0,0,0,0,0,136,8,0.4677796667515641,0.027516450985386125,43,45,44.578947368421055,0.8377078165833908,0.7017543859649119,0,0,0,0,0,0,0,0,0,47.05555555555556,44.76470588235294,43,0,0,0,0,0,0,17,761,1,43,-1,-1,17,0,0,0,0,0,0,0,0,0,MITM
192.168.0.141-192.168.0.142-48635-39600-6,192.168.0.141,48635,192.168.0.142,39600,6,7/8/2025 10:22,70704819,3,5,0,0,0,0,0,0,0,0,0,0,0,0.11314646035654231,1.010068842857143E7,1.9068161487249684E7,5.2207211E7,11,6.1474444E7,3.0737222E7,3.0363149627801165E7,5.2207211E7,9267233,7.0662189E7,1.766554725E7,2.3440027036062572E7,5.2215415E7,25,0,0,0,0,96,160,0.042429923,0.070716538,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,5,0,-1,501,0,0,2743,4719.843641477967,8193,11,2.355132E7,2.4816729603942923E7,5.2207211E7,9222157,MITM
192.168.0.141-192.168.0.142-50053-44866-6,192.168.0.141,50053,192.168.0.142,44866,6,7/8/2025 10:22,70704817,3,5,0,0,0,0,0,0,0,0,0,0,0,0.11314646355707277,1.0100688142857142E7,1.906815433810423E7,5.2207211E7,28,6.1474443E7,3.07372215E7,3.0363150334907945E7,5.2207211E7,9267232,7.0662163E7,1.766554075E7,2.344004910598977E7,5.2215452E7,53,0,0,0,0,96,160,0.042429924,0.07071654,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,5,0,-1,501,0,0,2764.666666666667,4718.411632459946,8213,28,2.3551289666666668E7,2.481675587355209E7,5.2207211E7,9222108,MITM
192.168.0.142-54.161.152.147-35674-443-6,192.168.0.142,35674,54.161.152.147,443,6,7/8/2025 10:22,91645644,3,5,0,0,0,0,0,0,0,0,0,0,0,0.087292747,1.3092234857142858E7,1.601332186237807E7,3.0218551E7,245443,6.0924006E7,3.0462003E7,2815.699202684832,3.0463994E7,3.0460012E7,9.1645644E7,2.2911411E7,1.510780541732893E7,3.04762E7,249712,0,0,0,0,96,160,0.03273478,0.054557966770357354,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,5,0,-1,484,0,0,251470.66666666666,7072.929402541307,259257,245443,3.0211194333333332E7,9289.861642313805,3.0218551E7,3.0200755E7,MITM
